key,prompt
1,"A smiling Caucasian woman with long curly red hair standing in a sunflower field, full body view"
2,"A young Asian girl with straight black hair blowing bubbles in a city park, mid-shot"
3,"Two African women laughing together, one with braided hair and one with natural afro, beach background"
4,"An elderly Latina woman with silver wavy hair feeding pigeons in a plaza, full body perspective"
5,"A Nordic woman with platinum blonde pixie cut standing on a mountain cliff, wind blowing her hair"
6,A teenage girl with freckles and auburn ponytail riding a bicycle through autumn leaves
7,Middle Eastern woman with dark curly hair playing with a golden retriever in a meadow
8,"South Asian girl with long black braids practicing yoga at sunrise, ocean behind her"
9,"Two women sitting back-to-back, one Caucasian with pink highlights and one African with dreadlocks"
10,"A pregnant woman of mixed race leaning against a rustic fence, hands on belly"
11,"Young girl with jet black bob cut jumping over a puddle, urban street background"
12,African woman with short natural hair laughing while catching a football
13,Asian woman with purple ombre hair blowing a kiss to the camera
14,Latina girl with waist-length straight hair running through cherry blossoms
15,Middle-aged woman with grey streaks in brown hair gardening in greenhouse
16,"Two sisters hugging, one fair-skinned with freckles and one dark-skinned with braids"
17,Indian woman with long wavy hair doing a traditional dance in temple courtyard
18,Nordic girl with space buns hairstyle chasing butterflies in a wildflower field
19,African-American woman with voluminous afro smiling while painting on canvas
20,"East Asian woman with blunt bangs holding a steaming teacup, close-up portrait"
21,Hispanic girl with messy bun eating watermelon on a porch swing
22,Middle Eastern woman with henna-painted hands playing chess in a bazaar
23,Redheaded woman with pale complexion skipping stones at lakeside
24,"South Asian girl with oiled braided hair lighting diya lamps, warm golden hour"
25,"Two women arm wrestling - one muscular build and one petite, gym background"
26,Elderly Japanese woman with white bun hairstyle folding origami cranes
27,African girl with beaded cornrows climbing a baobab tree
28,Mixed-race woman with curly brown hair blowing dandelion seeds
29,Scandinavian woman with long blonde braid ice skating on frozen lake
30,"Latina mother brushing her daughter's identical curly hair, domestic scene"
31,Southeast Asian woman with black shag cut tending to bonsai plants
32,Indian girl with jasmine flowers in hair dancing barefoot in rain
33,Middle Eastern woman with striking green eyes reading ancient scrolls
34,African-American girl with box braids doing cartwheel on basketball court
35,Indigenous woman with waist-length straight black hair holding eagle feather
36,"Two elderly women whispering secrets - one Asian, one European"
37,Caribbean girl with colorful beads in hair jumping rope in cobblestone alley
38,Nordic woman with asymmetrical undercut chopping firewood
39,"South Asian mother teaching daughter to grind spices, kitchen backdrop"
40,African woman with tribal face paint carrying water jug on head
41,East Asian girl with blunt bangs blowing soap bubbles
42,Hispanic woman with rose gold hair shading her eyes from bright sun
43,Middle Eastern girl with hijab playing hopscotch in courtyard
44,Native American woman with silver hair strands braiding sweetgrass
45,"Two girls competing in arm wrestling - one blonde, one brunette"
46,African woman with geometric haircut laughing while eating mango
47,South Asian girl with nose ring drawing henna patterns on paper
48,European woman with strawberry blonde waves skipping through meadow
49,Mixed-race girl with afro puffs chasing fireflies at dusk
50,Middle Eastern woman with kohl-rimmed eyes writing in journal
51,Native Alaskan woman with dark braids holding salmon by river
52,"Two teenagers - one Black girl doing handstand, one Asian girl laughing"
53,Indian woman with long plait juggling citrus fruits at market
54,Scandinavian girl with milkmaid braids carrying basket of berries
55,African-American woman with fade haircut playing saxophone
56,East Asian woman with blunt bob haircut practicing calligraphy
57,Hispanic girl with wild curly hair releasing paper lantern
58,Middle Eastern woman with ornate henna tattoo feeding stray cats
59,Polynesian girl with flower crown surfing at sunset
60,"Two women building sandcastle - one redhead, one brunette"
61,South Asian woman with oiled braid meditating at waterfall
62,African girl with beaded hair playing marbles in dirt courtyard
63,European woman with chestnut hair catching falling leaves
64,Native American girl with twin braids grinding cornmeal
65,Middle Eastern woman with striking gray eyes sorting spices
66,"Two sisters - one Black with afro, one White with curls - baking together"
67,East Asian woman with hime cut hairstyle arranging ikebana
68,Latina girl with wild curls chasing chickens in farmyard
69,African woman with shaved head doing yoga on cliff edge
70,Scandinavian girl with fishtail braid collecting seashells
71,South Asian woman with jasmine flowers in hair lighting lamps
72,Middle Eastern mother braiding daughter's hair on carpet
73,Native woman with silver hair strands weaving basket
74,Two women laughing while covered in flour - kitchen accident
75,African-American girl with space buns dribbling basketball
76,East Asian woman with blunt cut carrying lanterns at night
77,Hispanic mother teaching daughter to make tortillas
78,European woman with messy bun smelling fresh lavender
79,Indian girl with long braid flying colorful kite
80,Middle Eastern woman with winged eyeliner mixing potions
81,Native American girl with beads in hair making pottery
82,"Two women - one Black, one Asian - playing chess in park"
83,African woman with golden earrings balancing basket of fruit
84,Scandinavian girl with crown braid picking apples
85,South Asian woman with oiled plait doing classical dance
86,Latina woman with waist-length curls blowing birthday candles
87,Middle Eastern girl with hennaed hands feeding peacocks
88,European woman with auburn hair skipping through puddles
89,Native American mother teaching daughter to track animals
90,"Two girls - one blonde, one brunette - having pillow fight"
91,African woman with tribal scars smiling while pounding yam
92,East Asian girl with blunt bangs releasing paper boat
93,Hispanic woman with rose in hair dancing flamenco
94,Middle Eastern woman applying kohl eyeliner in mirror
95,Native girl with braided pigtails gathering wild herbs
96,"Two women - one tall, one short - racing through market"
97,South Asian woman with jasmine garland making kolam art
98,European girl with Dutch braids milking cow in barn
99,African-American woman with fade cut playing blues guitar
100,East Asian woman with hime haircut arranging cherry blossoms
101,An Indigenous Australian woman with curly salt-and-pepper hair collecting seashells at dawn
102,"Two teenage girls - one Black with box braids, one Asian with blunt cut - taking selfies by waterfall"
103,Middle Eastern woman with waist-length black hair practicing archery in desert
104,African girl with beaded cornrows balancing stack of books on head
105,Scandinavian woman with double French braids ice fishing on frozen lake
106,South Asian mother and daughter making rangoli patterns with colored powder
107,Hispanic girl with wild ringlet curls chasing soap bubbles in courtyard
108,Native Hawaiian woman with hibiscus flower behind ear doing hula dance
109,East Asian woman with sleek ponytail practicing martial arts in bamboo forest
110,"Two elderly women - one African, one European - playing dominoes on porch"
111,African-American girl with Bantu knots jumping rope in urban playground
112,Nordic woman with silver-blonde hair herding reindeer in snowscape
113,Indian girl with oiled braid drawing water from village well
114,Middle Eastern mother teaching daughter to make flatbread on clay oven
115,Polynesian woman with tribal tattoos blowing conch shell at ocean's edge
116,"Two girls - one redhead, one brunette - building treehouse in woods"
117,Latina woman with rose-gold highlights harvesting grapes in vineyard
118,Southeast Asian girl with bowl cut feeding koi fish in pond
119,African woman with shaved sides hairstyle drumming on djembe
120,Native American mother braiding daughter's hair with feather adornments
121,East Asian woman with wavy bob cut arranging tea ceremony utensils
122,"Two women - one Middle Eastern, one European - exchanging spices at market"
123,Caribbean girl with colorful hair ribbons skipping stones on river
124,African-American woman with Senegalese twists painting mural on wall
125,Scandinavian girl with milkmaid braids gathering mushrooms in forest
126,South Asian woman with jasmine strands in hair offering prayers at shrine
127,Hispanic mother teaching daughter to grind maize using stone mortar
128,Middle Eastern woman with kohl-lined eyes reading poetry under olive tree
129,Indigenous Canadian woman with long braids carving totem pole
130,"Two girls - one with afro, one with straight hair - having wheelbarrow race"
131,Polynesian girl with flower lei making tapa cloth under palm trees
132,East Asian woman with hime hairstyle practicing kyudo (Japanese archery)
133,African woman with golden neck rings carrying clay pot on shoulder
134,European girl with Dutch braids churning butter in farmhouse
135,Native Amazonian woman with face paint preparing herbal remedies
136,"Two women - one tall Black woman, one petite Asian - carrying market baskets"
137,Middle Eastern girl with intricate henna patterns mixing spices
138,South Asian woman with long plait carrying oil lamp through temple
139,African-American girl with frohawk hairstyle playing double Dutch
140,Inuit woman with parka hood framing face building igloo
141,European woman with auburn hair bottle-feeding lamb in spring meadow
142,"Two sisters - one with curly hair, one straight - making flower crowns"
143,Middle Eastern woman with nose ring tending to rose garden
144,Maori woman with facial moko tattoos performing haka on clifftop
145,South Asian girl with oiled braid swinging on rural rope swing
146,African woman with geometric haircut balancing basket of vegetables
147,Native American girl with beadwork hair ties grinding medicinal herbs
148,"Two women - one Asian, one Latina - practicing tai chi together"
149,Scandinavian woman with fishtail braid foraging berries in tundra
150,East Asian girl with blunt bangs releasing folded paper crane
151,Hispanic woman with wild curls teaching daughter to make pottery
152,Middle Eastern mother and daughter arranging mosaic tiles
153,African girl with beaded hair learning to make fire with sticks
154,Polynesian woman with flower crown navigating with star chart
155,"Two women - one Indigenous, one European - exchanging herbal knowledge"
156,South Asian woman with jasmine garland performing classical hand gestures
157,European girl with braided crown carrying pail of milk from barn
158,Native American woman with silver concho braiding horse's mane
159,Middle Eastern woman with amber eyes training falcon on wrist
160,African-American girl with lemonade stand braiding friend's hair
161,Inuit woman with traditional chin tattoos ice fishing
162,"Two girls - one Black, one Asian - playing hopscotch in alley"
163,South Asian woman with long braid drawing water from stepwell
164,Maasai woman with beaded necklaces herding cattle in savanna
165,European woman with chestnut hair sketching landscape in pasture
166,Middle Eastern mother teaching daughter to weave carpet loom
167,Native Hawaiian girl with flower lei pounding taro root
168,African woman with tribal markings making pottery from river clay
169,"Two women - one elderly, one young - passing down oral stories"
170,East Asian woman with hime cut arranging stone garden
171,Hispanic girl with wild curls collecting cactus fruit
172,Middle Eastern woman with hennaed feet feeding courtyard fish
173,Scandinavian woman with blonde braids gathering reindeer moss
174,Native American mother teaching daughter to tan hides
175,African girl with beaded hair learning traditional dance moves
176,"Two women - one with afro, one with braids - arm wrestling competition"
177,South Asian woman with oiled plait offering flower petals to river
178,Polynesian woman with tribal arm tattoos navigating canoe
179,Middle Eastern woman with kohl-rimmed eyes mixing perfume oils
180,European girl with Dutch braids churning ice cream with hand crank
181,African-American woman with locs playing steel drum on beach
182,Inuit girl with braided pigtails building inukshuk stone figure
183,East Asian woman with sleek bob cut practicing ink brush painting
184,"Two sisters - one biracial, one Asian - making dumplings together"
185,Native Amazonian woman with face paint preparing curare poison
186,Middle Eastern woman with silver hair charms reading ancient text
187,African girl with beaded hairstyle balancing water jug
188,Scandinavian woman with milkmaid braids collecting birch sap
189,South Asian mother teaching daughter to string jasmine flowers
190,Hispanic woman with rose gold curls harvesting coffee beans
191,Maori woman with chin tattoo performing poi dance
192,"Two women - one Indigenous, one African - exchanging seed varieties"
193,Middle Eastern girl with intricate braids feeding barn animals
194,Native American woman with turquoise jewelry making dreamcatcher
195,East Asian woman with hime cut arranging miniature bonsai
196,African-American girl with Bantu knots measuring rainfall
197,Polynesian woman with flower crown husking coconuts
198,Two elderly women - different ethnicities - playing mahjong
199,Middle Eastern mother teaching daughter calligraphy techniques
200,Inuit woman with parka hood carving soapstone sculpture
201,"Siberian woman with long straight black hair training huskies in snowfield, full body view"
202,"Two girls - one Black, one Latina - planting flowers in community garden, mid-shot"
203,Middle Eastern woman with dark coiled hair studying ancient manuscripts in library
204,South Asian girl with oiled braids washing clothes by riverside
205,Nordic woman with golden ponytail measuring aurora borealis data
206,Indigenous Mexican woman with silver-streaked hair making natural dyes
207,African-American girl with twist outs examining insects through magnifying glass
208,Two elderly women - Japanese and Aboriginal Australian - tea ceremony in zen garden
209,Polynesian woman with tribal neck tattoos charting ocean currents
210,East Asian girl with bowl cut releasing fireflies into jar at twilight
211,Hispanic woman with burgundy curls collecting sea urchins in tide pools
212,Native Alaskan woman with bone hair pins filleting freshly caught fish
